country,num_dates
"Cook Island",1
Croatia,1
"Guadaloupe, FOC",1
"New Caledonia, FOC",1
"Saint Martin, FOC",1
Guyana,1
"Iran, Islamic Republic",1
Libya,1
Syria,1
"Puerto Rico",1
"Virgin Islands",1
Monaco,1
"France, French Polynesia, FOC",1
"France, Martinique, FOC",1
"Netherlands, Curacao, OT",1
"United Kingdom, Jersey, Crown Dependency",1
"Bosnia and Hezegovina",2
Malta,2
"Netherlands, Aruba",2
Palau,2
Uganda,2
"France, New Caledonia, FOC",2
Kenya,3
Mauritius,3
Myanmar,3
"Netherlands Antilles, Curaao",3
"Saint Lucia",3
Iraq,4
Lithuania,4
Nepal,4
Iran,4
Indonesia,5
Serbia,5
"Guernsey, Crown Dependency",5
Vanuatu,5
"Netherlands Antilles, Curaao ",5
"Antigua and Barbuda",6
Cambodia,6
"Cap Verde",6
"Cote d'Ivoire",6
Ethiopia,6
Latvia,6
Montenegro,6
Tunisia,6
Algeria,7
Bangladesh,7
"Brunei Darussalam",7
Fiji,7
Slovenia,7
"French Polynesia, FOC",8
"Martinique, FOC",8
Laos,8
"Netherlands Antilles, Sint Maarten",8
Oman,8
"Papua New Guinea",8
"South Africa",8
Suriname,8
"Isle of Man, Crown Dependency",8
"Jersey, Crown Dependency",8
"Bermuda, UKOT",9
"British Virgin Islands, UKOT",9
Jordan,9
Qatar,9
Samoa,9
"Sri Lanka",9
Yemen,9
Morocco,10
"West Bank and Gaza Strip",10
Ukraine,13
"Cayman Islands, UKOT",14
Dominica,14
"Trinidad and Tobago",14
"United Arab Emirates",14
Barbados,15
Luxembourg,15
"Saudi Arabia",15
Bulgaria,16
Egypt,16
Lebanon,16
Nicaragua,16
Bahamas,17
Bolivia,17
Cyprus,17
Estonia,17
Hungary,17
Jamaica,17
Paraguay,17
Venezuela,17
"Viet Nam",17
"Czech Republic",18
"Dominican Republic",18
Romania,18
Slovakia,18
Uruguay,18
Bahrain,19
Singapore,19
Honduras,21
Iceland,21
Kuwait,21
"Grand Total",21
Argentina,22
Australia,22
Austria,22
Belgium,22
Brazil,22
Canada,22
Chile,22
China,22
Colombia,22
"Costa Rica",22
Cuba,22
Denmark,22
Ecuador,22
"El Salvador",22
Finland,22
France,22
Germany,22
Greece,22
Guatemala,22
India,22
Ireland,22
Israel,22
Italy,22
Japan,22
"Korea, Republic of",22
Malaysia,22
Mexico,22
Netherlands,22
"New Zealand",22
Norway,22
Panama,22
Peru,22
Philippines,22
Poland,22
Portugal,22
Russia,22
Spain,22
Sweden,22
Switzerland,22
Thailand,22
Turkey,22
"United Kingdom",22
"United States of America",22
